2.77193,51.85291
2.74361,51.91019
2.60558,51.92658
2.33880,51.81672
2.24469,51.76753
2.15250,51.74369
1.95853,51.60912
3.03866,52.39543
2.90835,52.41672
3.31950,52.66519
1.86144,52.84191
2.01516,52.59791
1.67237,52.82488
1.39770,52.97179
1.06683,53.01608
0.80154,53.03695
0.45491,52.99777
0.26371,52.92197
1.24951,51.58868
1.10729,51.71643
1.76733,51.83098
1.53780,51.85824
3.51048,51.83503
3.45917,51.98428
3.46109,52.10309
0.22421,52.28396
0.44479,52.56161
0.19696,52.38361
0.94983,52.65785
0.98220,52.36913
0.73095,52.25416
1.10995,52.54628
1.29306,52.66210
1.43103,52.47644
1.42847,52.32995
1.35608,52.23371
1.17297,52.20050
0.88255,52.01909
0.65430,51.92797
0.14586,51.92967
0.50015,51.79000
0.24550,51.75082
0.72670,52.52499
0.72840,52.82052
0.54359,52.78985
1.25303,52.79071
1.36971,52.68127
1.28709,52.63868
1.60562,52.53648
1.55281,52.37978
3.32972,52.05604
3.30374,51.95447
3.19579,52.01239
3.09338,51.93531
2.93007,51.93425
2.64221,51.89784
2.38585,51.77328
2.31006,51.82885
2.40885,51.74390
2.15782,51.83077
1.68174,51.89571
1.71389,51.94404
1.52758,51.96533
1.31733,51.68801
1.12081,51.54269
1.75519,51.52097
1.88880,51.58730
0.49344,53.07176
0.39316,52.90334
1.57794,52.95103
3.19760,52.73535
3.14948,52.60377
3.34835,52.49028
3.61534,52.60504
3.56574,52.66530
