1.89779,51.88011
1.90344,51.88991
1.90950,51.89928
1.91451,51.90790
1.91983,51.91652
1.92941,51.93515
1.93442,51.91993
1.92984,51.91077
1.92356,51.90183
1.91238,51.88437
1.92782,51.88756
1.93282,51.89640
1.93814,51.90524
1.94389,51.91514
1.94911,51.92344
1.96784,51.91226
1.96295,51.90332
1.97210,51.89810
1.95688,51.89406
1.96667,51.88831
1.95603,51.87660
1.99925,51.88831
2.00723,51.91759
2.02629,51.93547
2.48034,52.24037
2.50386,52.25581
2.51738,52.22962
2.53250,52.25857
2.52654,52.27124
2.49662,52.26837
2.52888,52.21131
2.53750,52.19150
2.51845,52.16904
2.49034,52.15957
2.89180,51.62743
2.90936,51.61647
2.94002,51.62914
2.91000,51.64117
2.87487,51.63489
2.91884,51.63595
